id,username,comment,num_of_likes,published_at
9YFbtgNsSeA,@rsharissudin9084,"hukuman ringan, pr pemangku ga berani apa nanti takut ketahuan",0,2025-02-26T01:07:39Z
9YFbtgNsSeA,@sonytan8130,Penjahat Efisiensi anggaran 😂😂😂😂,0,2025-02-26T01:07:44Z
9YFbtgNsSeA,@peloytea1970,"yg korupsi harus nya jangan di penjara,siram bensin langsung bakar hidup",0,2025-02-26T01:08:42Z
9YFbtgNsSeA,@ferianiharianto1104,"Jangan di masukin ke penjara, kalo bole masukin ke dalam mobil tangki pertamina.. biar tenggelam sama pertalite oplosan..",0,2025-02-26T01:08:53Z
9YFbtgNsSeA,@back975,Rompinya pun dibantu makai nya ya 😎😎,0,2025-02-26T01:09:34Z
9YFbtgNsSeA,@KikiKiki-j4u,Aduh sudah capek mendengar berita di Indonesia .,0,2025-02-26T01:09:52Z
9YFbtgNsSeA,@sandidesty3669,Bakar,0,2025-02-26T00:57:27Z
9YFbtgNsSeA,@golddragons6034,"Keluar dari penjara, langsung masuk partai politik dan dengan duit hasil korupsi memberi mahar untuk mencalonkan diri jadi gubernur atau jadi anggota dpr ri. Eunak tenan hidupnya ...wkwkwkwk..hancur dah",0,2025-02-26T00:58:16Z
9YFbtgNsSeA,@Kusuma_wijaya,kalau uang nya banyak plus bagi2 pasti hukumanya ringan. di negri samxxx,0,2025-02-26T00:58:25Z
9YFbtgNsSeA,@aniaja70,"salah satu penyebab kendaraan cepat R U S A K, JARI TANGAN OKNUM PERTAMINA sebaiknya  di Potong.",0,2025-02-26T00:58:48Z
9YFbtgNsSeA,@andysusanto5990,Hukum mati yang pantas untuk mereka,0,2025-02-26T00:59:27Z
9YFbtgNsSeA,@situmbu8154,"Ini hukumanya 2,5 tahun di potong lagi karna perlakuan baik 😂😂",0,2025-02-26T01:00:15Z
9YFbtgNsSeA,@hermansudarsono297,Gateli tiwas tuku pertamax gawe nmaxku 😮,0,2025-02-26T01:00:23Z
9YFbtgNsSeA,@davidsh4177,"Bagaimana perhitungannya merugikan Negara. Apa dananya tidak masuk kas Negara. Kalau tidai masuk kas Negara, kenapa lama baru kerkuak?

Yang rugi sebenarnya masyarakat, karena beli minyak yang tidak sesuai.",0,2025-02-26T01:00:24Z
9YFbtgNsSeA,@raishafaiq8873,"Pertaminna merugi ternyata diminum orang dalam sndiri,padahl rakyat belinya dngan uang tunai,aneeh
Hukum berat bangzat itu",0,2025-02-26T01:01:12Z
9YFbtgNsSeA,@ahmadbudiyanyo8594,hukum mati koruptor,0,2025-02-26T01:01:25Z
9YFbtgNsSeA,@andiputrapurwandi9688,"Mahasewa seindonesia mana BACOTNYA , efisiensi didemo eh giliran sita aset koruptor diem saja. AYO KALAO ADA DEMO MAHASEWA KITA USIR SAJA. CUMA GANGGU KETERTIBAN DOANG.",0,2025-02-26T01:02:43Z
9YFbtgNsSeA,@johnkelana6015,"*MENTAL MALING ,OTAK BISNIS DITARUH DIMANA SAJA TETAP MALING* 😂😂😂😂",0,2025-02-26T01:03:05Z
9YFbtgNsSeA,@nurmansantosa8549,hukum 1 tahun saja cukup . setelah satu tahun buang di hutan,0,2025-02-26T01:03:09Z
9YFbtgNsSeA,@onlyyou5039,Sudah saatnya para pakar hukum pidana duduk bersama pakar hukum pidana islam mengkaji hukum potong tangan bagi pencuri/koruptor supaya menjadi efek jerah bagi yg lainnya.,0,2025-02-26T01:03:24Z
